CSV-style output:
02-Jun, F1, 0.58179,0.839264,1.1231826070262765,ucb,matern52,2.5,1.0,1.0,2.5
02-Jun, F2, 0.671212,0.920673,0.9060669856664236,ucb,matern52,2.0,1.0,1.0,2.5
02-Jun, F3, 0.343124,0.937866,0.760039,-0.0023051313301106,ei,matern52,1.96,1.0,1.0,2.5
02-Jun, F4, 0.711583,0.013745,0.025658,0.16938,0.64440136058046,ei,matern52,1.96,1.0,1.0,2.5
02-Jun, F5, 0.961126,0.924971,0.307047,0.221433,8662.405001248297,ei,matern52,1.96,1.0,1.0,2.5
02-Jun, F6, 0.399477,0.309778,0.638116,0.695194,0.197108,-0.2019097543488713,ucb,matern52,2.0,1.0,1.0,2.5
02-Jun, F7, 0.524139,0.133122,0.090219,0.424444,0.166633,0.76896,2.3204144429036524,ei,matern52,1.96,1.0,1.0,2.5
02-Jun, F8, 0.097011,0.165517,0.128188,0.147888,0.803151,0.483444,0.196056,0.99667,9.9831377917129,ei,rbf,1.96,1.0,1.0,None

Tab-separated output:
02-Jun, F1, 0.58179,0.839264		1.1231826070262765	ucb	matern52	2.5	1.0	1.0	2.5
02-Jun, F2, 0.671212,0.920673		0.9060669856664236	ucb	matern52	2.0	1.0	1.0	2.5
02-Jun, F3, 0.343124,0.937866,0.760039		-0.0023051313301106	ei	matern52	1.96	1.0	1.0	2.5
02-Jun, F4, 0.711583,0.013745,0.025658,0.16938		0.64440136058046	ei	matern52	1.96	1.0	1.0	2.5
02-Jun, F5, 0.961126,0.924971,0.307047,0.221433		8662.405001248297	ei	matern52	1.96	1.0	1.0	2.5
02-Jun, F6, 0.399477,0.309778,0.638116,0.695194,0.197108		-0.2019097543488713	ucb	matern52	2.0	1.0	1.0	2.5
02-Jun, F7, 0.524139,0.133122,0.090219,0.424444,0.166633,0.76896		2.3204144429036524	ei	matern52	1.96	1.0	1.0	2.5
02-Jun, F8, 0.097011,0.165517,0.128188,0.147888,0.803151,0.483444,0.196056,0.99667		9.9831377917129	ei	rbf	1.96	1.0	1.0	None

25-Jul, F1, 0.997513,0.892207,1.1231826070262765,poi,matern32,3.5,2.25,1.44,3.0
25-Jul, F2, 0.469333,0.79315,0.9060669856664236,poi,matern32,3.0,2.25,1.44,3.0
25-Jul, F3, 0.77793,0.503956,0.444633,0.0118134868705578,ei,matern52,1.96,1.0,1.0,2.5
25-Jul, F4, 0.284466,0.486922,0.478298,0.6592,0.69301215528069,ei,matern52,1.96,1.0,1.0,2.5
25-Jul, F5, 0.983945,0.937321,0.647752,0.976093,8662.405001248297,poi,matern32,3.96,5.07,2.08,3.0
25-Jul, F6, 0.355824,0.392233,0.66699,0.724615,0.083888,-0.0975111011889552,ucb,matern52,2.0,1.0,1.0,2.5
25-Jul, F7, 0.424945,0.184841,0.887847,0.523285,0.712528,0.881081,2.7452184451505293,ei,matern52,1.96,1.0,1.0,2.5
25-Jul, F8, 0.612907,0.422551,0.784217,0.618538,0.115578,0.180273,0.096402,0.90253,9.9895406121756,ei,rbf,1.96,1.0,1.0,None
